Time,Open,High,Low,Close,Volume
2022-06-21 01:30:00,20569.91000000,20596.94000000,20504.89000000,20526.84000000,679.16965000
2022-06-21 01:45:00,20526.83000000,20708.44000000,20507.50000000,20670.88000000,748.98842000
2022-06-21 02:00:00,20670.87000000,20699.93000000,20474.39000000,20500.01000000,718.52584000
2022-06-21 02:15:00,20500.00000000,20582.00000000,20459.14000000,20496.24000000,623.56051000
2022-06-21 02:30:00,20496.24000000,20571.15000000,20348.40000000,20403.66000000,1002.36710000
2022-06-21 02:45:00,20403.66000000,20465.26000000,20389.53000000,20433.49000000,532.43583000
2022-06-21 03:00:00,20433.49000000,20549.45000000,20365.00000000,20522.04000000,846.15157000
2022-06-21 03:15:00,20522.04000000,20557.24000000,20423.13000000,20434.32000000,636.26067000
2022-06-21 03:30:00,20434.32000000,20554.56000000,20386.82000000,20548.08000000,1000.93553000
2022-06-21 03:45:00,20548.09000000,20665.26000000,20523.79000000,20614.04000000,823.42241000
2022-06-21 04:00:00,20614.04000000,20740.72000000,20518.47000000,20543.24000000,993.29330000
2022-06-21 04:15:00,20543.23000000,20592.42000000,20501.65000000,20542.74000000,634.96443000
2022-06-21 04:30:00,20542.74000000,20560.26000000,20474.41000000,20528.24000000,506.07479000
2022-06-21 04:45:00,20529.08000000,20707.41000000,20500.02000000,20656.17000000,791.00290000
2022-06-21 05:00:00,20656.17000000,20757.49000000,20621.14000000,20704.17000000,787.89897000
2022-06-21 05:15:00,20704.18000000,20876.00000000,20668.55000000,20764.05000000,1742.60643000
2022-06-21 05:30:00,20763.06000000,21000.00000000,20735.00000000,20899.00000000,2507.31094000
2022-06-21 05:45:00,20899.00000000,21029.93000000,20828.79000000,20890.77000000,1478.83977000
2022-06-21 06:00:00,20890.77000000,21202.00000000,20890.77000000,21146.50000000,2680.96274000
2022-06-21 06:15:00,21146.49000000,21185.00000000,21028.21000000,21089.40000000,1699.19155000
2022-06-21 06:30:00,21089.40000000,21173.01000000,21042.56000000,21148.27000000,934.98976000
2022-06-21 06:45:00,21148.27000000,21199.70000000,21078.11000000,21192.08000000,799.37257000
2022-06-21 07:00:00,21192.08000000,21333.00000000,21053.31000000,21098.82000000,1704.07724000
2022-06-21 07:15:00,21098.82000000,21138.33000000,20952.46000000,21112.00000000,1612.21592000
2022-06-21 07:30:00,21111.99000000,21229.79000000,21075.39000000,21181.75000000,1297.87951000
2022-06-21 07:45:00,21181.75000000,21197.00000000,21036.57000000,21120.28000000,819.22995000
2022-06-21 08:00:00,21120.28000000,21280.00000000,21051.25000000,21189.99000000,1318.99807000
2022-06-21 08:15:00,21190.00000000,21253.19000000,21112.00000000,21177.32000000,849.86574000
2022-06-21 08:30:00,21177.32000000,21432.97000000,21158.97000000,21321.32000000,2404.60164000
2022-06-21 08:45:00,21321.33000000,21500.01000000,21250.00000000,21356.32000000,1667.90256000
